anchor,frame_class,total,c1_review_complete,planned_c1_unresearched_ready,c0_registered_unresearched,held_identity_or_time
"-2000","civilization_region","1","0","1","0","0"
"-2000","historical_period_polity","1","1","0","0","0"
"-2000","polity","1","0","0","1","0"
"-2000","polity_aggregate","1","0","1","0","0"
"-1000","institution_estate","1","0","0","1","0"
"-500","dynastic_polity","1","0","1","0","0"
"-500","polity","8","3","1","4","0"
"-100","mobile_network","1","1","0","0","0"
"500","island_polity","1","1","0","0","0"
"500","polity","9","1","1","7","0"
"500","urban_polity_site","1","1","0","0","0"
"700","institution_estate","1","1","0","0","0"
"800","institution_estate","1","0","0","1","0"
"900","mobile_network","1","0","1","0","0"
"1000","institution_estate","2","1","0","1","0"
"1100","institution_estate","2","1","0","1","0"
"1200","node_site","2","1","1","0","0"
"1300","mobile_network","2","0","1","1","0"
"1300","node_or_incipient_polity","1","0","1","0","0"
"1300","polity","11","3","2","6","0"
"1300","polity_aggregate","1","0","1","0","0"
"1400","mobile_network","3","0","0","3","0"
"1400","node_site","2","0","0","2","0"
"1500","node_site","3","1","0","2","0"
"1600","region_community","1","0","0","1","0"
"1700","region_community","2","0","0","2","0"
"1800","imperial_title_fragmented_sovereignty","1","0","1","0","0"
"1800","invalid_label_at_anchor","1","0","0","0","1"
"1800","jurisdiction_aggregate","1","1","0","0","0"
"1800","jurisdiction_title_transition","1","0","0","0","1"
"1800","polity","8","1","0","7","0"
"1800","region_community","4","1","2","1","0"
