anchor,sampling_sector,total,c1_review_complete,planned_c1_unresearched_ready,c0_registered_unresearched,held_identity_or_time
"-2000","C","1","1","0","0","0"
"-2000","D","2","0","1","1","0"
"-2000","E","1","0","1","0","0"
"-500","C","2","1","1","0","0"
"-500","D","3","1","0","2","0"
"-500","E","2","0","1","1","0"
"-500","F","2","1","0","1","0"
"500","A","2","1","0","1","0"
"500","C","2","0","0","2","0"
"500","D","2","1","0","1","0"
"500","E","2","0","0","2","0"
"500","F","3","1","1","1","0"
"1300","A","2","0","1","1","0"
"1300","B","2","1","1","0","0"
"1300","C","2","1","0","1","0"
"1300","D","2","0","1","1","0"
"1300","E","3","1","0","2","0"
"1300","F","2","0","1","1","0"
"1800","A","3","1","0","1","1"
"1800","C","2","0","1","1","0"
"1800","D","2","0","0","1","1"
"1800","E","2","0","0","2","0"
"1800","F","3","1","0","2","0"
