frame_class,total,c1_review_complete,planned_c1_unresearched_ready,c0_registered_unresearched,held_identity_or_time,validated,validated_with_frame_limitation,ambiguous_requires_C2_or_hold,invalid_or_mismatched_hold,unqualified
"civilization_region","1","0","1","0","0","0","1","0","0","0"
"dynastic_polity","1","0","1","0","0","0","1","0","0","0"
"historical_period_polity","1","1","0","0","0","1","0","0","0","0"
"imperial_title_fragmented_sovereignty","1","0","1","0","0","0","1","0","0","0"
"institution_estate","7","3","0","4","0","2","1","0","0","4"
"invalid_label_at_anchor","1","0","0","0","1","0","0","0","1","0"
"island_polity","1","1","0","0","0","1","0","0","0","0"
"jurisdiction_aggregate","1","1","0","0","0","0","1","0","0","0"
"jurisdiction_title_transition","1","0","0","0","1","0","0","1","0","0"
"mobile_network","7","1","2","4","0","0","3","0","0","4"
"node_or_incipient_polity","1","0","1","0","0","0","1","0","0","0"
"node_site","7","2","1","4","0","2","1","0","0","4"
"polity","37","8","4","25","0","12","0","0","0","25"
"polity_aggregate","2","0","2","0","0","0","2","0","0","0"
"region_community","7","1","2","4","0","0","3","0","0","4"
"urban_polity_site","1","1","0","0","0","0","1","0","0","0"
